c0c9490b4784f1ed49f131b209778a3608d8e9dc7d2e73bcadc1cd8fc37d2537,1,2016,Norfolk Constabulary,Norfolk Constabulary,-1.197202,51.215865,On or near Church Farm Close,E01022532,Basingstoke and Deane 022A,Violence and sexual offences,Under investigation,,RG25 2BN,RG25,"6 Church Farm Cl, North Waltham, Basingstoke RG25 2BN, UK"
5cd2388d8a7e59c399aace2a4f82dbf69a853cdfcab70c76c68ed41715db99b3,1,2016,Norfolk Constabulary,Norfolk Constabulary,1.072912,52.698043,On or near Blind Lane,E01026436,Breckland 001A,Burglary,Investigation complete; no suspect identified,,NR9 5LH,NR9,"Lyng, Norwich NR9 5LH, UK"
9df6a7f8ae2f224b28b66661cf3a070090d59422ebc718dd36cab367cdc168ba,1,2016,Norfolk Constabulary,Norfolk Constabulary,1.029399,52.746422,On or near Blackhorse Meadow,E01026436,Breckland 001A,Burglary,Investigation complete; no suspect identified,,NR20 4RT,NR20,"The St, Bawdeswell, Dereham NR20 4RT, UK"
b7beaf5b5dd3a929cdadf2922ca99e0dd7d0a44e296f0434e6fa544c1ad73a53,1,2016,Norfolk Constabulary,Norfolk Constabulary,1.062192,52.717242,On or near Back Lane,E01026436,Breckland 001A,Vehicle crime,Investigation complete; no suspect identified,,NR9 5QZ,NR9,"Waratah Manor Farm Riding School, The St, Lyng, Norwich NR9 5QZ, UK"
059a1c630e35a647bc8535a425f6b4787ba2a5711a99a4d866a358f1aea918b2,1,2016,Norfolk Constabulary,Norfolk Constabulary,1.056109,52.720259,On or near Bakery Lane,E01026436,Breckland 001A,Other crime,Under investigation,,NR9 5RX,NR9,"2 Duffield Cres, Lyng, Norwich NR9 5RX, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.981465,52.712871,On or near Sports/Recreation Area,E01026461,Breckland 001C,Anti-social behaviour,,,NR20 4NP,NR20,"Mann's Ln, Swanton Morley, Dereham NR20 4NP, UK"
d03c3820a08573bb934e5ea5057db365c08b23837557c3d51f7c2f2f247f7471,1,2016,Norfolk Constabulary,Norfolk Constabulary,1.042037,52.711718,On or near Heath Road,E01026461,Breckland 001C,Other theft,Investigation complete; no suspect identified,,NR20 3EE,NR20,"2 Heath Rd, Elsing, Dereham NR20 3EE, UK"
759ba2c9155718e4709ae97589f1a12cd690d86bfbb182a875d3657a0aa7239e,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.987233,52.715154,On or near Petrol Station,E01026461,Breckland 001C,Other theft,Investigation complete; no suspect identified,,NR20 4PB,NR20,"6 Town St, Swanton Morley, Dereham NR20 4PB, UK"
c424431dfb0c3917188d3ae81241f069d4d076cad50610d9e8625bcc2e8061e7,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.981465,52.712871,On or near Sports/Recreation Area,E01026461,Breckland 001C,Violence and sexual offences,Under investigation,,NR20 4NP,NR20,"Mann's Ln, Swanton Morley, Dereham NR20 4NP, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.946326,52.745153,On or near Orchard Close,E01026483,Breckland 001E,Anti-social behaviour,,,NR20 5HG,NR20,"30 Orchard Cl, North Elmham, Dereham NR20 5HG, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.954951,52.743194,On or near Station Road,E01033042,Breckland 001F,Anti-social behaviour,,,NR20 5HH,NR20,"27-31 B1145, North Elmham, Dereham NR20 5HH, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.952401,52.720155,On or near Park/Open Space,E01033042,Breckland 001F,Anti-social behaviour,,,NR20 4BD,NR20,"Hoe, Dereham NR20 4BD, UK"
5f77bdc97790ab89ed5f3c7a057878b8510b519854312bfa76eb4be5cfbf3a42,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.98259,52.743679,On or near Sports/Recreation Area,E01033042,Breckland 001F,Burglary,Investigation complete; no suspect identified,,NR20 4RE,NR20,"School Cottage, The St, Billingford, Dereham NR20 4RE, UK"
6f3d2bfcb9533f654fcdcc63430dc198b41f92bce378909f08d748cc5c6c0082,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.992408,52.771462,On or near The Street,E01033042,Breckland 001F,Criminal damage and arson,Under investigation,,NR20 5NE,NR20,"43 The St, Bintree, Dereham NR20 5NE, UK"
e6e2af3540c8e5f3314fbb6eb5498e6e1208f7f586b046a6263cbf9a7b711bf1,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.978293,52.718913,On or near Ward Crescent,E01033042,Breckland 001F,Violence and sexual offences,Investigation complete; no suspect identified,,NR20 4PH,NR20,"5-13 Ward Cres, Swanton Morley, Dereham NR20 4PH, UK"
2afb0d1abd24a6d5de92d11262749f631ce42df2bfde68a0184192d9e4baff97,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.98259,52.743679,On or near Sports/Recreation Area,E01033042,Breckland 001F,Violence and sexual offences,Under investigation,,NR20 4RE,NR20,"School Cottage, The St, Billingford, Dereham NR20 4RE, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.846273,52.771284,On or near Dereham Road,E01026442,Breckland 002A,Anti-social behaviour,,,NR20 5TE,NR20,"Sunset View, School Rd, Dereham NR20 5TE, UK"
09952caa65930f8a612c5fce79d80a10f80e3fdcb5f549059e4bce9b867ff5fe,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.843194,52.772041,On or near High Street,E01026442,Breckland 002A,Other theft,Investigation complete; no suspect identified,,NR20 5AP,NR20,"3 High St, Dereham NR20 5AP, UK"
dae42af406e53c6f5a0b90a8a817f373526c6115356ae6f34cd18bce5299ea19,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.879028,52.778047,On or near Main Dereham Road,E01026442,Breckland 002A,Other theft,Investigation complete; no suspect identified,,NR20 5EE,NR20,"Horningtoft, Dereham NR20 5EE, UK"
cb92426e3c58064f5c5e88b20f084457dd347adfce7791ea682fa19468d5d289,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.832963,52.771135,On or near Mill Road,E01026442,Breckland 002A,Violence and sexual offences,Investigation complete; no suspect identified,,NR20 5SR,NR20,"1 Mill Ln, Whissonsett, Dereham NR20 5SR, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.790804,52.723055,On or near Manor Drive,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2NZ,PE32,"The Old Rectory, Mileham Rd, Litcham, King's Lynn PE32 2NZ, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.785135,52.72799,On or near Keppel Close,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2YD,PE32,"1 Keppel Cl, King's Lynn PE32 2YD, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.790804,52.723055,On or near Manor Drive,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2NZ,PE32,"The Old Rectory, Mileham Rd, Litcham, King's Lynn PE32 2NZ, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.790804,52.723055,On or near Manor Drive,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2NZ,PE32,"The Old Rectory, Mileham Rd, Litcham, King's Lynn PE32 2NZ, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.790804,52.723055,On or near Manor Drive,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2NZ,PE32,"The Old Rectory, Mileham Rd, Litcham, King's Lynn PE32 2NZ, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.76303,52.67708,On or near Necton Road,E01026443,Breckland 002B,Anti-social behaviour,,,PE32 2DN,PE32,"43 Necton Rd, King's Lynn PE32 2DN, UK"
78f1761b6c2b748be15374f485cc84c178aafa4fa18aebc25dbcec68d7fec8b7,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.757613,52.681729,On or near School Lane,E01026443,Breckland 002B,Burglary,Investigation complete; no suspect identified,,PE32 2DQ,PE32,"1 School Ln, King's Lynn PE32 2DQ, UK"
38f67921335ba22d8c52537e3f8ad35e25f980e91b946a9622a8b8e984866663,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.874653,52.713469,On or near Park/Open Space,E01026443,Breckland 002B,Burglary,Investigation complete; no suspect identified,,NR19 2RH,NR19,"Longham, Dereham NR19 2RH, UK"
553a51d3627c561e8c0e19869c2e34b31f1d539d4f8f6dcd7a028e9be33db3af,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.76303,52.67708,On or near Necton Road,E01026443,Breckland 002B,Burglary,Investigation complete; no suspect identified,,PE32 2DN,PE32,"43 Necton Rd, King's Lynn PE32 2DN, UK"
504e83d4f4666992bf50ad858c8f0d72288ceb397443781e6df3d40d71728fff,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.793281,52.722888,On or near Church Street,E01026443,Breckland 002B,Other theft,Under investigation,,PE32 2NS,PE32,"18 Church St, Litcham, King's Lynn PE32 2NS, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.584237,52.682311,On or near Meadow Close,E01026445,Breckland 002C,Anti-social behaviour,,,PE32 1SY,PE32,"Westfields, Narborough, King's Lynn PE32 1SY, UK"
,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.585081,52.681321,On or near Westfields,E01026445,Breckland 002C,Anti-social behaviour,,,PE32 1SY,PE32,"93 Westfields, Narborough, King's Lynn PE32 1SY, UK"
59dd5bd7da23da75df05a4ddec6914a1253dbe35a412d1778764d56b2b29ee43,1,2016,Norfolk Constabulary,Norfolk Constabulary,0.585845,52.683984,On or near Blacksmiths Way,E01026445,Breckland 002C,Burglary,Investigation complete; no suspect identified,,PE32 1UU,PE32,"1 Blacksmiths Way, King's Lynn PE32 1UU, UK"
